model,K,D,seed,MI,IC,R,S,T,E,RF,SWC,turns
deepseek-v4-flash,16,0.0,7,25.88,0.9991,0.0009,0.5,0.3333,0.4176,,0.0,91
deepseek-v4-flash,16,0.6,7,25.69,0.999,0.001,0.1666,1.0,0.0648,0.3333,0.0,232
deepseek-v4-flash,2,0.0,7,94.17,0.0,1.0,,1.0,0.5922,,,39
deepseek-v4-flash,2,0.6,7,95.85,0.0,1.0,1.0,1.0,0.5848,1.0,,46
deepseek-v4-flash,4,0.0,7,33.36,0.9684,0.0316,0.5,0.5,0.7099,,0.0,43
deepseek-v4-flash,4,0.6,7,34.62,0.9684,0.0316,0.5,0.5,0.8357,,0.0,65
deepseek-v4-flash,8,0.0,7,39.67,0.957,0.043,0.5,1.0,0.2952,,0.0,90
deepseek-v4-flash,8,0.0,7,44.61,0.831,0.169,0.5,0.9167,0.4511,,0.0,78
deepseek-v4-flash,8,0.6,7,23.47,0.9904,0.0096,0.0,1.0,0.3091,0.0,0.0,99
deepseek-v4-flash,8,0.6,7,44.51,0.831,0.169,0.5,0.9167,0.4412,1.0,0.0,102
mimo-v2.5,16,0.0,7,38.65,0.9873,0.0127,0.5,1.0,0.3139,,0.0,102
mimo-v2.5,16,0.6,7,27.34,0.9874,0.0126,0.1666,1.0,0.1836,0.3333,0.0,139
mimo-v2.5,2,0.0,7,92.66,0.0,1.0,,1.0,0.4863,,,22
mimo-v2.5,2,0.6,7,34.62,0.999,0.001,1.0,0.0,0.4584,1.0,,23
mimo-v2.5,4,0.0,7,80.25,0.0,1.0,0.5,1.0,0.5247,,0.0,32
mimo-v2.5,4,0.6,7,77.16,0.0,1.0,0.5,1.0,0.2162,,0.0,77
mimo-v2.5,8,0.0,7,47.48,0.8005,0.1995,0.5,1.0,0.45,,0.0,52
mimo-v2.5,8,0.0,7,27.73,0.9947,0.0053,0.5,0.4167,0.4178,,0.0,44
mimo-v2.5,8,0.6,7,34.54,0.794,0.206,0.125,1.0,0.2554,0.25,0.0,82
mimo-v2.5,8,0.6,7,42.57,0.845,0.155,0.5,0.9167,0.3033,,0.0,75
